SUB	ITEM	critical_word	condition	position	SUM_3RT_trimmed	FullSentence
1513268790	5	couch	LC	11	568	Before painting, the contractors laid down a tarp on the couch
1513268790	6	zoo	LC	12	719	Jennifer asked a close friend if they could go to the zoo
1513268790	7	stump	LC	12	736	Behind the storage shed, there were some dead branches and a stump
1513268790	8	drought	LC	9	538	They started filming a documentary about last year's drought
1513268790	9	small	LC	11	568	She decided not to apply because the college was too small
1513268790	10	eyes	LC	10	572	Her new wallpaper was the same color as her eyes
1513268790	11	bread	LC	9	300	Laurence woke up early to make his own bread
1513268790	12	loud	LC	11	601	She saw her coworker at the bar, who was very loud
1513268790	13	rain	LC	10	491	She arrived late because she got stuck in the rain
1513268790	14	cure	LC	10	548	We heard that the remote island has no known cure
1513268790	15	proud	LC	9	300	After his final chemo treatment, he felt very proud
1513268790	16	brake	LC	9	503	We were surprised when Maria stepped on the brake
1513268790	17	speech	LC	11	432	Hamilton and his coworkers were chatting together after the long speech
1513268790	18	hacker	LC	8	442	The software was designed by a brilliant hacker
1513268790	19	truth	LC	11	638	The police officer was unsure if he could find the truth
1513268790	20	cake	LC	11	448	My wife said that she didn't like that kind of cake
1513268790	21	lunch	LC	11	863	He was late because he had to pick up his lunch
1513268790	22	memory	LC	12	644	Ben was always an excellent employee because he had a good memory
1513268790	23	pigs	LC	10	566	Bill checked outside, but he didn't see the little pigs
1513268790	24	axe	LC	9	300	My father scared away the burglars with his axe
1513268790	25	cocoon	LC	11	531	The biologist used the microscope to see inside of the cocoon
1513268790	26	pilot	LC	13	691	When we were told we had to evacuate, we listened to the pilot
1513268790	27	stove	LC	8	300	Jan wasn't able to turn on the stove
1513268790	28	salad	LC	10	544	On the last day, he decided to make a salad
1513268790	29	iron	LC	10	573	I saw some steam coming out of the new iron
1513268790	30	cart	LC	9	602	At work, the assistant needed to find the cart
1513268790	31	gravy	LC	9	550	The restaurant was famous for making a delicious gravy
1513268790	32	floor	LC	8	685	After the party the butler cleaned the floor
1513268790	33	milk	LC	8	626	The local farmers produced a lot of milk
1513268790	34	napkin	LC	12	524	When he was walking past the kitchen he accidentally dropped a napkin
1513268790	35	clock	LC	11	491	After their trip, they replaced the battery in the old clock
1513268790	36	eat	LC	10	480	My cousin was bored, and she had nothing to eat
1513268790	37	bath	LC	10	453	That weekend, their interior decorator helped them install a bath
1513268790	38	racket	LC	10	568	The crowd watched as the man picked up his racket
1513268790	39	bowl	LC	9	925	Jan was walking and she accidentally dropped her bowl
1513268790	40	vanilla	LC	12	300	He walked down to the supermarket to buy milk, flour, and vanilla
1513268790	41	truck	LC	12	300	Ben was being so violent that he tried to smash the truck
1513268790	42	shark	LC	9	300	Earlier, the dock worker saw a beautiful white shark
1513268790	43	lanes	LC	9	497	The marathon runners will cross more than six lanes
1513268790	44	glasses	LC	10	528	Her mother was adamant that she has to wear glasses
1513268790	45	pulse	LC	12	582	When the detective arrived at the scene, he looked for a pulse
1513268790	46	sail	LC	14	529	The team had to work for hours to fix the tear in the sail
1513268790	47	circle	LC	10	455	All of the fifth-graders had to get in a circle
1513268790	48	sharp	LC	10	597	His mom sternly warned him because it was very sharp
1513268790	49	lawyer	LC	11	466	When he crashed his car, he decided to call a lawyer
1513268790	50	south	LC	10	300	On their long vacation, the family traveled to the south
1513268790	51	barking	LC	9	654	They knew that Harry kept her awake by barking
1513268790	52	pillow	LC	11	300	When her wallet was missing, she found it under her pillow
1513268790	53	muscle	LC	11	525	After arriving at the campus, he wanted to build some muscle
1513268790	54	net	LC	9	550	Samantha and Karen suspected it was under the net
1513268790	55	carrot	LC	10	511	In the door of his refrigerator he found a carrot
1513268790	56	yarn	LC	9	300	Emily had trouble finding the right color of yarn
1513268790	57	ballet	LC	12	553	The girl was extremely excited that she was going to learn ballet
1513268790	58	school	LC	9	573	After the horrible flood they built a new school
1513268790	59	balloon	LC	10	946.9951751	The woman at the store was buying the red balloon
1513268790	60	wine	LC	10	654	At the market, he bought a new type of wine
1513268790	61	rice	LC	10	635	In the kitchen, she accidentally spilled a bunch of rice
1513268790	62	plane	LC	11	300	After a three hour wait, the men could see the plane
1513268790	63	short	LC	11	479	The parents were worried about Jason because he was very short
1513268790	64	spider	LC	9	538	My husband was trying to catch the large spider
1513268790	65	bomb	LC	10	300	Jonathan was shocked that they decided to use the bomb
1513268790	66	farm	LC	9	502	My uncle is installing solar panels on his farm
1513268790	67	heavy	LC	11	507	The hikers didn't buy the tent because it was too heavy
1513268790	68	wedding	LC	10	571	The lazy teenager didn't want to go to the wedding
1513268790	69	sentence	LC	12	602	The substitute teacher was pretty impressed by the length of the sentence
1513268790	70	light	LC	12	656	You can damage your vision if you keep staring at the light
1513268790	71	tree	LC	10	614	Joan and her decorator decided to add a large tree
1513268790	72	paper	LC	12	690	The two researchers working in the clinical program needed lots of paper
1513268790	73	rake	LC	10	946.9951751	He tried to scare off the animal using a rake
1513268790	74	scroll	LC	9	465	The pair of thieves recently stole the ancient scroll
1513268790	149	farmer	MC	11	553	After returning home from the big city, Jim became a farmer
1513268790	150	frame	MC	10	528	The burglar stole the painting but left the elegant frame
1513268790	151	border	MC	10	901	There were lots of intimidating guards stationed at the border
1513268790	152	beak	MC	12	467	The bald eagle was trying to attack the hunters using its beak
1513268790	153	drink	MC	9	498	At the restaurant, he didn't want anything to drink
1513268790	154	mountain	MC	9	537	The couple camped near the side of the mountain
1513268790	155	tent	MC	9	538	The kids at summer camp slept in the tent
1513268790	156	valley	MC	9	584	The team discovered the fertile crops in a valley
1513268790	157	calf	MC	8	527	The farmer gave milk to the brown calf
1513268790	158	candy	MC	10	508	While touring the factory, Bill sampled several pieces of candy
1513268790	159	overdose	MC	7	514	They used naloxone to treat an overdose
1513268790	160	voice	MC	11	304	Before the cameras started rolling, the actress suddenly lost her voice
1513268790	161	sale	MC	9	604	He spent lots of money at the annual sale
1513268790	162	bow	MC	9	300	While facing the target, he picked up his bow
1513268790	163	snake	MC	10	833	He had never been bitten by that type of snake
1513268790	164	stool	MC	9	449	During timeout, Suzie had to sit on a stool
1513268790	165	shaking	MC	9	528	They fled in fear when the house started shaking
1513268790	166	art	MC	10	583	Even though she's blind, she appreciates many types of art
1513268790	167	ideas	MC	10	482	The consultant said that he had run out of ideas
1513268790	168	insulin	MC	8	535	She brought the needle to inject some insulin
1513268790	169	cross	MC	8	305	The nuns were praying beside the wooden cross
1513268790	170	yearbook	MC	12	300	In high school, I wrote my boyfriend a message in his yearbook
1513268790	171	attic	MC	11	300	There were a lot of old clothes stored in the attic
1513268790	172	fly	MC	11	300	When it's locked in a cage, it can no longer fly
1513268790	173	compass	MC	10	300	My brother always carried a pocket knife and a compass
1513268790	174	hockey	MC	12	651	My brother got his teeth knocked out while trying to play hockey
1513268790	175	bloom	MC	12	519	The weather's been so nice that the plants have started to bloom
